iter	Passed	Remaining
0	4	4148
1	4	2206
2	4	1560
3	4	1230
4	5	1029
5	5	904
6	5	812
7	5	739
8	6	679
9	6	632
10	6	596
11	6	565
12	7	537
13	7	514
14	7	495
15	7	479
16	8	464
17	8	450
18	8	439
19	8	428
20	8	417
21	9	408
22	9	400
23	9	392
24	9	385
25	10	379
26	10	372
27	10	369
28	10	366
29	11	361
30	11	356
31	11	352
32	11	347
33	12	343
34	12	339
35	12	335
36	12	331
37	13	330
38	13	327
39	13	325
40	13	322
41	13	319
42	14	316
43	14	314
44	14	311
45	14	309
46	15	307
47	15	306
48	15	304
49	15	302
50	16	300
51	16	298
52	16	296
53	16	295
54	17	293
55	17	292
56	17	291
57	17	289
58	18	288
59	18	286
60	18	285
61	18	283
62	18	282
63	19	280
64	19	278
65	19	277
66	19	276
67	20	275
68	20	274
69	20	273
70	20	271
71	21	270
72	21	269
73	21	268
74	21	267
75	21	266
76	22	265
77	22	265
78	22	264
79	22	263
80	23	263
81	23	262
82	23	260
83	23	259
84	23	258
85	24	258
86	24	257
87	24	257
88	25	256
89	25	256
90	25	256
91	25	255
92	26	255
93	26	255
94	26	255
95	27	254
96	27	254
97	27	253
98	27	253
99	28	252
100	28	251
101	28	251
102	28	251
103	29	250
104	29	249
105	29	248
106	29	248
107	29	247
108	30	247
109	30	246
110	31	249
111	31	249
112	31	248
113	31	247
114	32	247
115	32	246
116	32	245
117	32	245
118	33	244
119	33	244
120	33	243
121	33	242
122	33	242
123	34	241
124	34	241
125	34	240
126	34	239
127	35	238
128	35	238
129	35	237
130	35	237
131	36	236
132	36	236
133	36	235
134	36	235
135	36	234
136	37	234
137	37	233
138	37	233
139	37	233
140	38	232
141	38	231
142	38	230
143	38	230
144	39	230
145	39	229
146	39	229
147	39	228
148	39	228
149	40	227
150	40	227
151	40	226
152	40	226
153	41	225
154	41	225
155	41	224
156	41	224
157	42	224
158	42	224
159	42	223
160	42	223
161	43	222
162	43	222
163	43	221
164	43	221
165	44	221
166	44	220
167	44	220
168	44	219
169	44	219
170	45	218
171	45	218
172	45	218
173	45	217
174	46	217
175	46	216
176	46	216
177	46	216
178	47	215
179	47	215
180	47	215
181	47	214
182	48	214
183	48	213
184	48	213
185	48	213
186	48	212
187	49	212
188	49	212
189	49	211
190	49	211
191	50	210
192	50	210
193	50	209
194	50	209
195	50	209
196	51	208
197	51	208
198	51	208
199	52	208
200	52	207
201	52	207
202	52	207
203	53	207
204	53	206
205	53	206
206	53	206
207	54	205
208	54	205
209	54	205
210	54	204
211	55	204
212	55	204
213	55	203
214	55	203
215	56	203
216	56	203
217	56	202
218	56	202
219	56	201
220	57	201
221	57	201
222	57	200
223	57	200
224	58	200
225	58	199
226	58	199
227	58	199
228	59	198
229	59	198
230	59	198
231	59	198
232	60	197
233	60	197
234	60	197
235	60	196
236	61	196
237	61	196
238	61	196
239	61	195
240	62	195
241	62	195
242	62	194
243	62	194
244	63	194
245	63	194
246	63	194
247	63	193
248	64	193
249	64	193
250	64	192
251	64	192
252	65	192
253	65	192
254	65	191
255	65	191
256	66	191
257	66	190
258	66	190
259	66	190
260	67	189
261	67	189
262	67	188
263	67	188
264	67	188
265	68	187
266	68	187
267	68	187
268	68	187
269	69	186
270	69	186
271	69	186
272	69	185
273	70	185
274	70	185
275	70	185
276	70	184
277	71	184
278	71	184
279	71	183
280	71	183
281	71	183
282	72	182
283	72	182
284	72	182
285	73	183
286	73	183
287	74	183
288	74	182
289	74	182
290	74	182
291	75	181
292	75	181
293	75	181
294	75	180
295	75	180
296	76	180
297	76	180
298	76	179
299	76	179
300	77	179
301	77	178
302	77	178
303	77	178
304	78	177
305	78	177
306	78	177
307	78	176
308	78	176
309	79	176
310	79	176
311	79	175
312	80	175
313	80	175
314	80	175
315	80	174
316	80	174
317	81	174
318	81	173
319	81	173
320	81	173
321	82	173
322	82	172
323	82	172
324	82	172
325	83	171
326	83	171
327	83	171
328	83	171
329	84	170
330	84	170
331	84	170
332	84	169
333	84	169
334	85	169
335	85	168
336	85	168
337	85	168
338	86	168
339	86	167
340	86	167
341	86	167
342	87	166
343	87	166
344	87	166
345	87	165
346	88	165
347	88	165
348	88	165
349	88	165
350	89	164
351	89	164
352	89	164
353	89	164
354	90	163
355	90	163
356	90	163
357	90	162
358	91	162
359	91	162
360	91	162
361	91	161
362	92	161
363	92	161
364	92	160
365	92	160
366	92	160
367	93	160
368	93	159
369	93	159
370	93	159
371	94	158
372	94	158
373	94	158
374	94	158
375	95	158
376	95	157
377	95	157
378	95	157
379	96	156
380	96	156
381	96	156
382	96	156
383	97	155
384	97	155
385	97	155
386	97	154
387	98	154
388	98	154
389	98	154
390	98	153
391	99	153
392	99	153
393	99	153
394	99	152
395	100	152
396	100	152
397	100	152
398	101	152
399	101	151
400	101	151
401	101	151
402	102	151
403	102	150
404	102	150
405	102	150
406	103	150
407	103	149
408	103	149
409	103	149
410	103	149
411	104	148
412	104	148
413	104	148
414	104	147
415	105	147
416	105	147
417	105	147
418	105	146
419	106	146
420	106	146
421	106	146
422	106	145
423	107	145
424	107	145
425	107	144
426	107	144
427	108	144
428	108	144
429	108	143
430	108	143
431	109	143
432	109	143
433	109	142
434	109	142
435	109	142
436	110	142
437	110	141
438	110	141
439	110	141
440	111	140
441	111	140
442	111	140
443	111	140
444	112	139
445	112	139
446	112	139
447	113	139
448	113	139
449	113	138
450	113	138
451	114	138
452	114	137
453	114	137
454	114	137
455	114	137
456	115	136
457	115	136
458	115	136
459	115	136
460	116	135
461	116	135
462	116	135
463	116	135
464	117	134
465	117	134
466	117	134
467	117	134
468	118	133
469	118	133
470	118	133
471	118	132
472	118	132
473	119	132
474	119	131
475	119	131
476	119	131
477	120	131
478	120	130
479	120	130
480	120	130
481	121	130
482	121	129
483	121	129
484	121	129
485	121	129
486	122	128
487	122	128
488	122	128
489	122	127
490	123	127
491	123	127
492	123	127
493	123	126
494	124	126
495	124	126
496	124	126
497	124	125
498	125	125
499	125	125
500	125	125
501	125	124
502	126	124
503	126	124
504	126	124
505	126	123
506	127	123
507	127	123
508	127	123
509	127	122
510	128	122
511	128	122
512	128	122
513	128	121
514	129	121
515	129	121
516	129	120
517	129	120
518	129	120
519	130	120
520	130	119
521	130	119
522	130	119
523	131	119
524	131	118
525	131	118
526	131	118
527	132	118
528	132	117
529	132	117
530	132	117
531	133	117
532	133	116
533	133	116
534	133	116
535	133	115
536	134	115
537	134	115
538	134	115
539	134	114
540	135	114
541	135	114
542	135	114
543	135	113
544	136	113
545	136	113
546	136	113
547	136	112
548	137	112
549	137	112
550	137	112
551	137	111
552	138	111
553	138	111
554	138	111
555	138	110
556	138	110
557	139	110
558	139	109
559	139	109
560	139	109
561	140	109
562	140	108
563	140	108
564	140	108
565	141	108
566	141	107
567	141	107
568	141	107
569	142	107
570	142	106
571	142	106
572	142	106
573	143	106
574	143	105
575	143	105
576	143	105
577	143	105
578	144	104
579	144	104
580	144	104
581	144	104
582	145	103
583	145	103
584	145	103
585	145	103
586	146	102
587	146	102
588	146	102
589	146	102
590	147	101
591	147	101
592	147	101
593	147	101
594	148	100
595	148	100
596	148	100
597	148	99
598	148	99
599	149	99
600	149	99
601	149	98
602	149	98
603	150	98
604	150	98
605	150	97
606	150	97
607	151	97
608	151	97
609	151	96
610	151	96
611	152	96
612	152	96
613	152	95
614	152	95
615	152	95
616	153	95
617	153	94
618	153	94
619	153	94
620	154	94
621	154	93
622	154	93
623	154	93
624	155	93
625	155	92
626	155	92
627	155	92
628	156	92
629	156	91
630	156	91
631	156	91
632	157	91
633	157	90
634	157	90
635	157	90
636	158	90
637	158	89
638	158	89
639	158	89
640	159	89
641	159	88
642	159	88
643	159	88
644	159	88
645	160	87
646	160	87
647	160	87
648	160	87
649	161	86
650	161	86
651	161	86
652	161	86
653	162	85
654	162	85
655	162	85
656	162	85
657	163	84
658	163	84
659	163	84
660	163	84
661	164	83
662	164	83
663	164	83
664	164	83
665	164	82
666	165	82
667	165	82
668	165	81
669	165	81
670	166	81
671	166	81
672	166	80
673	166	80
674	167	80
675	167	80
676	167	79
677	167	79
678	167	79
679	168	79
680	168	78
681	168	78
682	168	78
683	169	78
684	169	77
685	169	77
686	169	77
687	170	77
688	170	76
689	170	76
690	170	76
691	171	76
692	171	75
693	171	75
694	171	75
695	171	75
696	172	74
697	172	74
698	172	74
699	173	74
700	173	73
701	173	73
702	173	73
703	174	73
704	174	72
705	174	72
706	174	72
707	175	72
708	175	71
709	175	71
710	175	71
711	175	71
712	176	70
713	176	70
714	176	70
715	176	70
716	177	69
717	177	69
718	177	69
719	177	69
720	178	68
721	178	68
722	178	68
723	178	68
724	179	67
725	179	67
726	179	67
727	179	67
728	179	66
729	180	66
730	180	66
731	180	66
732	180	65
733	181	65
734	181	65
735	181	65
736	181	64
737	182	64
738	182	64
739	182	64
740	182	63
741	182	63
742	183	63
743	183	63
744	183	62
745	183	62
746	184	62
747	184	62
748	184	61
749	184	61
750	185	61
751	185	61
752	185	60
753	185	60
754	185	60
755	186	60
756	186	59
757	186	59
758	186	59
759	187	59
760	187	58
761	187	58
762	187	58
763	188	58
764	188	57
765	188	57
766	188	57
767	189	57
768	189	56
769	189	56
770	189	56
771	189	56
772	190	55
773	190	55
774	190	55
775	190	55
776	190	54
777	191	54
778	191	54
779	191	54
780	191	53
781	192	53
782	192	53
783	192	53
784	192	52
785	193	52
786	193	52
787	193	52
788	193	51
789	193	51
790	194	51
791	194	51
792	194	50
793	194	50
794	195	50
795	195	50
796	195	49
797	195	49
798	196	49
799	196	49
800	196	48
801	196	48
802	197	48
803	197	48
804	197	47
805	197	47
806	198	47
807	198	47
808	198	46
809	198	46
810	199	46
811	199	46
812	199	45
813	199	45
814	200	45
815	200	45
816	200	44
817	200	44
818	200	44
819	201	44
820	201	43
821	201	43
822	201	43
823	202	43
824	202	42
825	202	42
826	202	42
827	203	42
828	203	41
829	203	41
830	204	41
831	204	41
832	204	41
833	204	40
834	205	40
835	205	40
836	205	40
837	205	39
838	206	39
839	206	39
840	206	39
841	206	38
842	206	38
843	207	38
844	207	38
845	207	37
846	207	37
847	208	37
848	208	37
849	208	36
850	208	36
851	209	36
852	209	36
853	209	35
854	209	35
855	210	35
856	210	35
857	210	34
858	210	34
859	211	34
860	211	34
861	211	33
862	211	33
863	211	33
864	212	33
865	212	32
866	212	32
867	213	32
868	213	32
869	213	31
870	213	31
871	214	31
872	214	31
873	214	30
874	214	30
875	215	30
876	215	30
877	215	29
878	215	29
879	216	29
880	216	29
881	216	28
882	216	28
883	217	28
884	217	28
885	217	27
886	217	27
887	218	27
888	218	27
889	218	27
890	218	26
891	219	26
892	219	26
893	219	26
894	219	25
895	220	25
896	220	25
897	220	25
898	220	24
899	221	24
900	221	24
901	221	24
902	221	23
903	222	23
904	222	23
905	222	23
906	222	22
907	223	22
908	223	22
909	223	22
910	223	21
911	224	21
912	224	21
913	224	21
914	224	20
915	224	20
916	225	20
917	225	20
918	225	19
919	225	19
920	226	19
921	226	19
922	226	18
923	226	18
924	227	18
925	227	18
926	227	17
927	227	17
928	228	17
929	228	17
930	228	16
931	228	16
932	229	16
933	229	16
934	229	15
935	229	15
936	230	15
937	230	15
938	230	14
939	230	14
940	231	14
941	231	14
942	231	14
943	231	13
944	232	13
945	232	13
946	232	13
947	232	12
948	233	12
949	233	12
950	233	12
951	233	11
952	234	11
953	234	11
954	234	11
955	234	10
956	234	10
957	235	10
958	235	10
959	235	9
960	235	9
961	236	9
962	236	9
963	236	8
964	236	8
965	237	8
966	237	8
967	237	7
968	237	7
969	238	7
970	238	7
971	238	6
972	238	6
973	239	6
974	239	6
975	239	5
976	239	5
977	240	5
978	240	5
979	240	4
980	240	4
981	241	4
982	241	4
983	241	3
984	241	3
985	242	3
986	242	3
987	242	2
988	242	2
989	243	2
990	243	2
991	243	1
992	243	1
993	243	1
994	244	1
995	244	0
996	244	0
997	244	0
998	245	0
999	245	0
